Name,Orange Line,Blue Line,Red Line,Green Line,Yellow Line,Silver Line
Vienna,1,,,,,
Dunn Loring,2,,,,,
West Falls Church,3,,,,,
East Falls Church,4,,,,,6
Ballston-MU,5,,,,,7
Virginia Sq-GMU,6,,,,,8
Clarendon,7,,,,,9
Court House,8,,,,,10
Rosslyn,9,10,,,,11
Foggy Bottom,10,11,,,,12
Farragut West,11,12,,,,13
McPherson Sq,12,13,,,,14
Metro Center,13,14,15,,,15
Federal Triangle,14,15,,,,16
Smithsonian,15,16,,,,17
L'Enfant Plaza,16,17,,9,9,18
Federal Center SW,17,18,,,,19
Capitol South,18,19,,,,20
Eastern Market,19,20,,,,21
Potomac Ave,20,21,,,,22
Stadium Armory,21,22,,,,23
Minnesota Ave,21,,,,,
Deanwood,22,,,,,
Cheverly,23,,,,,
Landover,24,,,,,
New Carrollton,25,,,,,
Woodley Park,,,12,,,
Franconia-Springfield,,1,,,1,
Huntington,,,,,1,
Van Dorn Street,,2,,,2,
Eisenhower,,,,,2,
King St-Old Town,,3,,,3,
Braddock Road,,4,,,4,
Branch Ave,,,,1,,
Southern Ave,,,,4,,
Suitland,,,,2,,
Congress Heights,,,,5,,
Naylor Road,,,,3,,
Ronald Reagan Washingon National Airport,,5,,,5,
Crystal City,,6,,,6,
Anacostia,,,,6,,
Pentagon City,,7,,,7,
Pentagon,,8,,,8,
Waterfront,,,,8,,
Navy Yard-Ballpark,,,,7,,
Arlington Cemetery,,9,,,,
Addison Road,,25,,,,26
Capitol Heights,,24,,,,25
Benning Road,,23,,,,24
Morgan Boulevard,,26,,,,27
Archives,,,,10,10,
Judiciary Sq,,,17,,,
Union Station,,,18,,,
Gallery Place,,,16,11,11,
Largo Town Center,,27,,,,28
Farragut North,,,14,,,
Mt Vernon Sq,,,,12,12,
NoMa-Gallaudet U,,,19,,,
Dupont Circle,,,13,,,
Shaw-Howard U,,,,13,13,
U Street,,,,14,14,
Greensboro,,,,,,3
Tysons Corner,,,,,,4
Rhode Island Ave,,,20,,,
McLean,,,,,,5
Spring Hill,,,,,,2
Columbia Heights,,,,15,15,
Brookland-CUA,,,21,,,
Cleveland Park,,,11,,,
Georgia Ave,,,,16,16,
Van Ness-UDC,,,10,,,
Wiehle-Reston East,,,,,,1
Tenleytown-AU,,,9,,,
Fort Totten,,,22,17,17,
West Hyattsville,,,,18,18,
Friendship Heights,,,8,,,
Prince George's Plaza,,,,19,19,
Takoma,,,23,,,
College Park-U of Md,,,,20,20,
Bethesda,,,7,,,
Silver Spring,,,24,,,
Medical Center,,,6,,,
Greenbelt,,,,21,21,
Forest Glen,,,25,,,
Grosvenor-Strathmore,,,5,,,
Wheaton,,,26,,,
White Flint,,,4,,,
Glenmont,,,27,,,
Twinbrook,,,3,,,
Rockville,,,2,,,
Shady Grove,,,1,,,
